index,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,valence,genre,duration_mins
1820,1,2003,0,0.97,0.72,1,-3.347,0,0.149,0.0369,0.000389,0.962,"pop, R&B, Dance/Electronic",3.44
1821,0,2018,1,0.477,0.61,11,-5.628,0,0.144,0.225,0,0.358,"hip hop, pop, R&B",3.57
1822,0,2005,0,0.666,0.922,2,-4.458,0,0.0429,0.0381,0.000191,0.828,"pop, rock",4.61
1823,0,2012,0,0.762,0.863,0,-3.689,0,0.0565,0.015,0,0.965,"pop, Dance/Electronic",3.09
1824,1,2012,1,0.457,0.823,9,-4.76,1,0.311,0.00144,0,0.578,pop,3.85
1825,0,2013,0,0.627,0.703,0,-4.884,1,0.236,0.563,0,0.64,"hip hop, pop",3.62
1826,0,2012,1,0.674,0.628,2,-7.079,1,0.03,0.00144,0,0.552,pop,4.13
1827,0,2002,0,0.797,0.622,6,-5.642,0,0.29,0.0807,0,0.731,"hip hop, pop, R&B",4.73
1828,0,2016,1,0.841,0.639,9,-6.052,0,0.0688,0.0156,0.0654,0.675,Dance/Electronic,4.03
1829,1,2017,0,0.497,0.489,11,-7.724,0,0.294,0.0576,9.91e-05,0.231,hip hop,4.47
1830,0,2013,1,0.818,0.799,1,-4.1,0,0.156,0.00107,0.128,0.0815,"hip hop, pop, Dance/Electronic",3.56
1831,0,2004,1,0.677,0.682,9,-6.879,1,0.0361,0.0405,0,0.875,hip hop,3.2
1832,0,2012,0,0.704,0.793,8,-2.266,1,0.0591,0.0488,0,0.412,"hip hop, pop, Dance/Electronic",3.33
1833,0,2008,0,0.546,0.712,3,-3.104,0,0.0269,0.000969,0,0.489,"hip hop, pop",3.44
1834,0,2000,0,0.587,0.679,2,-6.26,1,0.0927,0.0839,0.000316,0.65,"hip hop, pop, latin",4.6
1835,0,2012,0,0.594,0.841,1,-5.792,1,0.102,0.000238,2.22e-06,0.643,"hip hop, pop, R&B",3.8
1836,1,2008,0,0.661,0.584,1,-5.09,1,0.061,0.00293,4.82e-06,0.0949,"pop, R&B",4.13
1837,1,2006,0,0.709,0.891,0,-3.688,1,0.0528,0.00144,0,0.886,pop,3.57
1838,1,2001,0,0.793,0.568,1,-4.958,1,0.0459,0.0478,3.57e-05,0.806,"hip hop, pop, R&B",4.49
1839,1,1999,0,0.854,0.543,8,-6.166,0,0.0844,0.0402,5.73e-05,0.868,"pop, R&B",4.06
1840,0,2003,0,0.6,0.736,7,-6.228,1,0.0329,0.325,0,0.848,pop,3.71
1841,1,2006,0,0.858,0.484,6,-7.448,0,0.277,0.0241,1.8e-06,0.329,"hip hop, pop",3.38
1842,0,2014,0,0.65,0.786,9,-5.488,1,0.0463,0.019,0,0.446,pop,3.31
