song,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Pop Ya Collar - Radio Edit,-3.944,0,0.0946,0.0901,2.12E-05,0.229,0.866,106.957,"hip hop, pop, R&B"
Don't Tell Me,-7.338,1,0.0594,0.0502,0.000925,0.0914,0.679,99.965,pop
If You Come Back,-4.487,1,0.0319,0.0822,0,0.0467,0.701,78.375,pop
Eternal Flame - Single Version,-6.867,1,0.0318,0.0658,0.0042,0.0674,0.408,83.293,pop
Where the Party At (feat. Nelly),-6.239,0,0.226,0.31,0,0.0847,0.86,129.491,"hip hop, pop, R&B"
Because I Got High,-8.56,1,0.488,0.169,0,0.0783,0.849,166.01,hip hop
Don't Stop Movin',-6.133,1,0.0329,0.0285,0,0.213,0.91,117.033,pop
Fill Me In,-6.981,1,0.0365,0.376,0.00951,0.06,0.827,132.493,"hip hop, pop, R&B"
Turn Off The Light,-6.26,1,0.0927,0.0839,0.000316,0.413,0.65,180.184,"hip hop, pop, latin"
Starlight - Radio Edit,-5.079,1,0.0373,0.000424,0.0187,0.389,0.786,127.487,Dance/Electronic
All I Want - Sunship Radio Edit,-3.07,0,0.0835,0.37,0.00863,0.189,0.96,134.079,"pop, Dance/Electronic"
Promise,-5.431,0,0.0872,0.136,0,0.0288,0.646,128.002,"hip hop, pop, R&B"
Have You Ever,-5.734,1,0.0325,0.538,0,0.216,0.51,139.909,pop
Only Time,-13.744,1,0.0301,0.841,0.661,0.112,0.213,82.803,"World/Traditional, Folk/Acoustic"
There You'll Be,-7.77,1,0.0306,0.513,0,0.127,0.17,128.98,"pop, country"
Lovin' Each Day,-6.261,1,0.0633,0.0178,2.95E-06,0.286,0.829,106.676,"pop, rock"
Bootylicious,-4.386,0,0.275,0.00281,1.11E-06,0.152,0.637,103.376,"pop, R&B"
It's the Way You Make Me Feel,-5.081,1,0.0239,0.108,2.09E-06,0.095,0.347,105.006,"pop, Dance/Electronic"
Heard It All Before,-4.209,0,0.216,0.0614,0,0.095,0.678,96.951,"pop, R&B"
Again,-5.218,1,0.0271,0.0148,4.33E-05,0.105,0.789,79.166,"rock, pop"
Gotta Get Thru This - D'N'D Radio Edit,-5.044,0,0.0598,0.0826,5.48E-05,0.102,0.941,133.592,pop
Point Of View - Radio Edit,-6.854,1,0.0287,0.00284,0.0746,0.0685,0.275,129.006,Dance/Electronic
All For You,-3.011,1,0.0736,0.0174,0.065,0.128,0.73,113.525,"pop, R&B"
Whole Again,-4.653,1,0.0413,0.0844,0.00355,0.174,0.567,94.019,pop
Livin' It Up,-4.086,1,0.311,0.0554,0,0.041,0.636,106.095,"hip hop, pop, R&B"
"Independent Women, Pt. 1",-3.782,0,0.206,0.362,3.69E-06,0.169,0.927,97.954,"pop, R&B"
Do You Really Like It? - Radio Edit,-5.424,1,0.0493,0.124,0,0.148,0.764,131.044,Dance/Electronic
I'm Real (feat. Ja Rule) - Murder Remix,-7.93,0,0.151,0.273,0,0.0718,0.554,83.46,"hip hop, pop, R&B"
Love,-9.919,0,0.0499,0.342,0,0.0876,0.339,99.738,"pop, R&B"
21 Seconds,-11.072,1,0.241,0.0191,0,0.124,0.818,137.03,Dance/Electronic
Eternity,-8.106,1,0.0265,0.504,6.04E-06,0.0919,0.199,77.967,"pop, rock"
Romeo,-4.171,1,0.0491,0.00769,0.00203,0.139,0.844,126.853,"pop, Dance/Electronic"
Southern Hospitality (Featuring Pharrell),-4.719,1,0.247,0.035,0,0.0941,0.613,95.158,"hip hop, pop"
Rise,-9.487,1,0.026,0.315,8.83E-06,0.09,0.631,144.673,"pop, R&B"
Ride Wit Me,-6.49,1,0.0478,0.0616,1.80E-06,0.244,0.722,101.875,"hip hop, pop, R&B"
I'm a Thug,-5.961,1,0.122,0.0275,0,0.102,0.586,139.976,"hip hop, pop"
Sing,-5.047,1,0.0497,0.000233,8.14E-06,0.0712,0.259,163.142,"rock, pop"
Izzo (H.O.V.A.),-4.051,0,0.342,0.0178,0.000126,0.0634,0.697,84.411,hip hop
Out Of Reach,-6.567,1,0.0452,0.503,0,0.106,0.496,182.862,"pop, R&B"
Heaven Is a Halfpipe (If I Die),-6.886,1,0.0349,0.0755,0.00283,0.367,0.77,95.9,rock
Crazy,-4.507,1,0.0258,0.084,0,0.549,0.484,116.097,"pop, R&B"
It's Been Awhile,-4.054,1,0.0338,0.00189,0.000549,0.143,0.0824,116.529,"rock, metal"
No More (Baby I'ma Do Right),-7.08,0,0.0631,0.102,4.40E-06,0.0651,0.761,88.933,"pop, R&B"
Differences,-4.578,0,0.0558,0.318,0,0.311,0.423,62.876,"hip hop, pop, R&B"
Gone,-8.564,0,0.0614,0.421,0,0.126,0.5,113.922,pop
Hanging By A Moment,-4.903,1,0.0349,0.000966,0,0.0812,0.502,124.599,"pop, rock, metal"
Dilemma,-8.074,0,0.14,0.227,0.000164,0.198,0.607,168.189,"hip hop, pop, R&B"
Without Me,-2.827,1,0.0738,0.00286,0,0.237,0.662,112.238,hip hop
Complicated,-5.898,1,0.0459,0.0572,7.74E-06,0.3,0.427,77.987,pop
A Thousand Miles,-3.862,1,0.0379,0.323,0,0.161,0.268,94.931,"Folk/Acoustic, pop"
Wherever You Will Go,-5.113,1,0.0267,0.0367,0,0.115,0.371,112.027,pop
Underneath Your Clothes,-5.328,1,0.0415,0.691,0,0.104,0.362,165.508,"pop, latin"
Underneath It All,-4.822,1,0.0684,0.232,1.57E-06,0.391,0.839,138.202,"rock, pop"
Addictive,-6.591,0,0.147,0.0737,0.000162,0.187,0.367,99.271,"pop, R&B"
I Know What You Want (feat. Flipmode Squad),-4.315,1,0.306,0.0142,0,0.648,0.518,85.996,"hip hop, pop"
'Till I Collapse,-3.237,1,0.186,0.0622,0,0.0816,0.1,171.447,hip hop
"I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans]",-7.392,0,0.483,0.421,0,0.0308,0.779,199.764,"hip hop, pop"
When You Look At Me - Radio Edit,-3.399,0,0.127,0.0934,0.000175,0.099,0.825,108.955,"hip hop, pop, R&B"
Die Another Day,-5.166,0,0.0901,0.062,0.00325,0.0896,0.491,123.993,pop
I'm Gonna Be Alright (feat. Nas),-4.382,0,0.265,0.106,0,0.271,0.774,93.401,"hip hop, pop, R&B"
If I Could Go! (feat. Lil' Mo & Sacario),-7.486,0,0.355,0.171,0,0.0395,0.7,195.685,pop
In the End,-5.87,0,0.0584,0.00958,0,0.209,0.4,105.143,"rock, metal"
The Ketchup Song (Aserejé) - Spanglish Version,-6.777,1,0.0948,0.0193,1.10E-06,0.0924,0.868,184.819,set()
Rock The Boat,-5.209,1,0.0336,0.0688,0.00286,0.193,0.418,92.988,"hip hop, pop, R&B"
Kiss Kiss,-4.944,0,0.125,0.00369,0.461,0.0701,0.554,97.036,"pop, Dance/Electronic"
Round Round,-3.802,0,0.0338,0.00287,6.23E-06,0.115,0.749,126.607,"pop, R&B"
Tainted Love,-7.779,1,0.0728,0.00107,1.83E-06,0.292,0.537,142.017,"rock, metal"
What About Us?,-2.942,0,0.223,0.263,0,0.39,0.748,93.118,"hip hop, pop, R&B"
Hero (feat. Josey Scott),-4.54,1,0.0364,0.00216,0,0.179,0.304,147.387,metal
Overprotected - Radio Edit,-1.73,0,0.0727,0.0381,0,0.416,0.845,95.992,pop
The Logical Song,-6.277,0,0.0382,0.00112,0.0362,0.425,0.493,144.043,"pop, Dance/Electronic"
4 My People (feat. Eve),-7.503,1,0.156,0.14,0.00161,0.201,0.905,121.392,"hip hop, pop, R&B"
More Than A Woman,-5.803,1,0.0787,0.0556,0.0014,0.182,0.74,86.994,"hip hop, pop, R&B"
Full Moon,-4.823,0,0.139,0.372,0.00432,0.0926,0.609,105.922,"hip hop, pop, R&B"
One Love,-4.039,0,0.0358,0.0243,4.20E-05,0.35,0.854,95.012,pop
Pass The Courvoisier Part II (feat. P. Diddy & Pharrell) - Remix,-4.699,0,0.323,0.0844,0,0.0619,0.56,89.767,"hip hop, pop"
A New Day Has Come - Radio Remix,-5.103,1,0.035,0.0826,1.65E-05,0.149,0.195,91.969,pop
Nessaja,-6.642,1,0.0364,0.000748,0.0984,0.187,0.118,143.048,"pop, Dance/Electronic"
Gangsta Lovin',-3.523,0,0.0608,0.0619,0,0.0945,0.827,94.332,"hip hop, pop, R&B"
Move Bitch,-5.692,1,0.133,0.245,0,0.1,0.191,177.894,"hip hop, pop"
"My Neck, My Back (Lick It)",-4.234,0,0.13,0.0296,0,0.0537,0.71,102.072,"pop, R&B"
Oops (Oh My) [feat. Missy Elliott],-8.786,0,0.29,0.233,0.00669,0.111,0.775,159.963,"hip hop, pop, R&B"
Spinning Around,-7.645,0,0.0548,0.292,6.19E-05,0.0956,0.631,120.043,"pop, Dance/Electronic"
Hot In Herre,-4.753,0,0.12,0.206,0,0.0615,0.912,107.075,"hip hop, pop, R&B"
Anyone of Us (Stupid Mistake),-6.061,1,0.0261,0.285,0,0.0845,0.654,106.986,pop
Dirrty (feat. Redman),-3.073,1,0.322,0.107,0,0.339,0.436,99.931,pop
Uh Huh,-4.955,1,0.0688,0.0881,3.70E-06,0.0592,0.908,99.699,"hip hop, pop, R&B"
Freak Like Me,-3.451,1,0.0925,0.0996,1.81E-06,0.557,0.387,91.868,"pop, R&B"
Days Go By,-8.274,0,0.0688,0.0499,0.0872,0.35,0.309,126.99,Dance/Electronic
What's Luv? (feat. Ja-Rule & Ashanti),-5.074,1,0.0598,0.0219,2.19E-05,0.108,0.919,93.955,"hip hop, pop"
Just A Little,-6.554,0,0.0574,0.00616,0,0.049,0.742,103.887,pop
Hella Good,-3.954,1,0.035,0.0135,0.0123,0.0903,0.844,115.142,"rock, pop"
Luv U Better,-3.9,1,0.239,0.232,0,0.18,0.721,95.022,"hip hop, pop, R&B"
Can't Stop,-3.442,1,0.0456,0.0179,0,0.167,0.875,91.455,rock
Halfcrazy,-6.057,0,0.18,0.462,1.50E-06,0.0485,0.418,101.955,"pop, R&B"
Gimme the Light,-5.529,1,0.0525,0.141,4.61E-05,0.0441,0.923,107.288,"hip hop, pop"
I Love You,-4.062,0,0.0926,0.00981,0,0.234,0.567,168.004,"hip hop, pop, R&B"
Down 4 U,-7.442,1,0.32,0.252,0,0.665,0.519,83.133,pop
Love at First Sight,-6.066,0,0.0428,0.0288,0.051,0.0533,0.48,124.994,"pop, Dance/Electronic"
Nothin',-6.118,0,0.151,0.317,1.13E-06,0.27,0.742,97.035,"hip hop, pop"
Unchained Melody,-8.049,1,0.0277,0.255,5.39E-06,0.108,0.208,106.52,pop
I Need a Girl (Pt. 1) [feat. Usher & Loon],-5.758,1,0.208,0.397,0,0.211,0.761,89.279,"hip hop, pop"
Nu Flow,-8.718,1,0.106,0.0903,2.53E-06,0.363,0.784,148.062,pop
Hey Baby,-3.557,0,0.125,0.0602,0,0.228,0.746,93.63,"rock, pop"
Baby,-5.757,0,0.223,0.0084,5.37E-06,0.0342,0.46,157.596,"hip hop, pop, R&B"
Murder On The Dancefloor,-5.285,0,0.0309,0.00312,1.16E-05,0.313,0.863,117.31,"pop, Dance/Electronic"
Like I Love You,-4.927,0,0.0646,0.0439,0.000307,0.0703,0.9,114.964,pop
Rainy Dayz,-6.997,1,0.229,0.195,0,0.305,0.533,68.942,"pop, R&B"
Caught in the Middle,-5.122,1,0.034,0.0524,0,0.243,0.572,96.072,pop
Cleanin' Out My Closet,-4.753,0,0.174,0.0687,0,0.0783,0.87,148.015,hip hop
Happy,-6.553,0,0.0289,0.241,3.74E-06,0.124,0.695,89.488,"hip hop, pop, R&B"
Born to Try,-6.813,1,0.0284,0.246,0,0.188,0.336,133.838,pop
Get the Party Started,-3.267,0,0.046,0.0011,0,0.173,0.96,128.93,pop
A Woman's Worth,-8.323,0,0.158,0.333,0,0.064,0.495,75.09,"pop, R&B"
Gotta Get Thru This - D'N'D Radio Edit,-5.076,0,0.0586,0.0862,0.000122,0.0906,0.924,133.592,pop
