artist,song,duration_ms,explicit,year,popularity,danceability,energy,key
Faithless,We Come 1 - Radio Edit,222435,FALSE,2015,53,0.645,0.903,5
Limp Bizkit,Rollin' (Air Raid Vehicle),213760,TRUE,2000,73,0.603,0.933,1
Lasgo,Something,220973,FALSE,2001,65,0.643,0.981,7
iio,Rapture (feat.Nadia Ali),253586,FALSE,2006,54,0.661,0.855,8
Emma Bunton,What Took You So Long?,241000,FALSE,2001,54,0.668,0.772,9
112,It's Over Now,264933,FALSE,2001,57,0.66,0.71,1
Blue,All Rise,223546,FALSE,2001,63,0.721,0.737,5
Jessica Simpson,Irresistible,194026,FALSE,2001,43,0.657,0.965,8
Crazy Town,Butterfly,216733,FALSE,1999,71,0.736,0.811,9
Michael Jackson,You Rock My World,337733,FALSE,2001,64,0.854,0.673,4
Eve,Let Me Blow Ya Mind,230133,TRUE,2001,73,0.908,0.557,8
Jennifer Lopez,Ain't It Funny,246160,FALSE,2001,0,0.707,0.869,5
Brandy,Another Day in Paradise - R&B-Version,271626,FALSE,2002,50,0.7,0.787,6
Nickelback,How You Remind Me,223840,FALSE,2001,78,0.446,0.764,10
Daft Punk,One More Time,320357,FALSE,2001,76,0.613,0.697,2
Outkast,Ms. Jackson,270506,TRUE,2000,82,0.843,0.806,4
Fragma,Everytime You Need Me - Radio Version,213346,FALSE,2001,50,0.682,0.917,11
Mariah Carey,Loverboy,229173,FALSE,2001,42,0.721,0.79,1
Dido,Thank You,218360,FALSE,1999,73,0.725,0.583,1
Joe,Stutter (feat. Mystikal) - Double Take Remix,213026,FALSE,2000,57,0.767,0.759,6
P.O.D.,Youth of the Nation,256240,FALSE,2001,69,0.563,0.86,8
Jennifer Lopez,Play,211493,TRUE,2001,57,0.775,0.729,1
Missy Elliott,Get Ur Freak On,211120,TRUE,2001,68,0.797,0.75,0
Ricky Martin,Nobody Wants to Be Lonely (with Christina Aguilera),252706,FALSE,2008,52,0.635,0.854,10
Christina Milian,AM To PM,231213,FALSE,2001,60,0.872,0.868,10
Roger Sanchez,Another Chance,452906,FALSE,2000,50,0.61,0.82,3
Gorillaz,Clint Eastwood,340920,TRUE,2001,74,0.663,0.694,10
2Pac,Until The End Of Time,266506,TRUE,2001,57,0.757,0.706,8
Tamia,Stranger in My House,285386,FALSE,2000,48,0.676,0.601,0
Mary J. Blige,No More Drama,326240,FALSE,2001,61,0.653,0.837,6
Jennifer Lopez,Love Don't Cost a Thing,221226,FALSE,2001,67,0.786,0.842,4
Jamiroquai,Little L,295400,FALSE,2001,65,0.878,0.724,10
Case,Missing You,284666,FALSE,2001,55,0.612,0.579,1
112,Peaches & Cream,193093,FALSE,2001,63,0.677,0.52,4
Five,Let's Dance - Radio Edit,218626,FALSE,2001,47,0.631,0.821,4
Rui Da Silva,Touch Me (Radio Edit) [feat. Cassandra],213133,FALSE,2001,54,0.464,0.922,0
Alien Ant Farm,Smooth Criminal,209266,FALSE,2001,75,0.653,0.964,9
Erick Sermon,Music (feat. Marvin Gaye),223133,TRUE,2001,57,0.897,0.466,10
D12,Purple Pills,304506,TRUE,2001,68,0.78,0.634,1
Usher,Pop Ya Collar - Radio Edit,210813,FALSE,2016,26,0.888,0.8,5
Madonna,Don't Tell Me,280973,FALSE,2000,53,0.699,0.618,7
Blue,If You Come Back,207560,FALSE,2001,58,0.582,0.707,10
Atomic Kitten,Eternal Flame - Single Version,195506,FALSE,2001,58,0.578,0.581,0
Jagged Edge,Where the Party At (feat. Nelly),232573,FALSE,2001,67,0.596,0.661,5
Afroman,Because I Got High,197760,TRUE,2001,68,0.802,0.341,7
S Club 7,Don't Stop Movin',233626,FALSE,2001,63,0.822,0.672,7
Craig David,Fill Me In,257200,FALSE,2000,60,0.682,0.744,8
