artist,song,duration_ms,explicit,year,popularity,danceability,energy,key
The Fray,How to Save a Life,262533,FALSE,2005,79,0.64,0.743,10
Sandi Thom,I Wish I Was a Punk Rocker (with Flowers in My Hair),151640,FALSE,2006,61,0.7,0.465,4
My Chemical Romance,Welcome to the Black Parade,311106,FALSE,2006,76,0.217,0.905,2
Razorlight,In The Morning,222453,FALSE,2006,59,0.616,0.855,4
The All-American Rejects,Dirty Little Secret,193653,FALSE,2005,65,0.469,0.955,10
James Morrison,Wonderful World,210066,FALSE,2006,49,0.474,0.71,1
Chris Brown,Yo (Excuse Me Miss),229040,FALSE,2005,69,0.536,0.612,4
P!nk,Who Knew,208493,FALSE,2006,0,0.688,0.734,9
The Kooks,Naive,203506,FALSE,2006,73,0.391,0.808,8
Leona Lewis,Bleeding Love,262466,FALSE,2007,75,0.638,0.656,5
Rihanna,Umbrella,275986,FALSE,2008,81,0.583,0.829,1
Britney Spears,Gimme More,251240,FALSE,2007,79,0.788,0.844,2
Fergie,Big Girls Don't Cry (Personal),268120,FALSE,2006,76,0.708,0.641,7
Mark Ronson,Valerie (feat. Amy Winehouse) - Version Revisited,219413,FALSE,2007,0,0.698,0.844,1
Plain White T's,Hey There Delilah,232533,FALSE,2005,78,0.656,0.291,2
Justin Timberlake,What Goes Around.../...Comes Around (Interlude),448573,FALSE,2006,70,0.687,0.723,7
Gwen Stefani,The Sweet Escape,246466,FALSE,2006,71,0.756,0.77,1
Timbaland,The Way I Are,179120,FALSE,2007,80,0.731,0.807,3
Nelly Furtado,Say It Right,223080,FALSE,2006,81,0.872,0.872,1
Ida Corr,Let Me Think About It,151973,FALSE,2012,43,0.762,0.754,0
Alex Gaudino,Destination Calabria - Radio Edit,223111,FALSE,2007,73,0.627,0.954,2
September,Cry for You,209800,FALSE,2007,65,0.767,0.881,9
Akon,Smack That,212360,TRUE,2006,58,0.94,0.743,5
Timbaland,Give It To Me,234026,TRUE,2007,70,0.975,0.711,8
50 Cent,Ayo Technology,247946,TRUE,2007,67,0.63,0.782,8
Eric Prydz,Proper Education - Radio Edit,198567,FALSE,2007,0,0.537,0.937,0
Fedde Le Grand,Put Your Hands Up For Detroit - Radio Edit,150533,FALSE,2015,0,0.827,0.931,7
Ciara,Like a Boy,237053,FALSE,2006,68,0.701,0.724,0
Kanye West,Stronger,311866,TRUE,2007,54,0.617,0.717,10
Beyoncé,Beautiful Liar,199853,FALSE,2007,64,0.764,0.751,8
Gym Class Heroes,Cupid's Chokehold / Breakfast in America - Radio Mix,237173,FALSE,2007,59,0.584,0.681,1
Akon,I Wanna Love You,247066,TRUE,2006,53,0.865,0.45,0
Soulja Boy,Crank That (Soulja Boy),221933,FALSE,2007,74,0.736,0.74,0
Fat Joe,Make It Rain,247413,TRUE,2006,59,0.744,0.697,11
P!nk,U + Ur Hand,214386,TRUE,2006,0,0.709,0.891,0
Rihanna,Shut Up And Drive,212280,FALSE,2008,69,0.735,0.826,1
Lloyd,Get It Shawty,209533,FALSE,2007,62,0.822,0.905,5
Kanye West,Can't Tell Me Nothing,271600,TRUE,2007,47,0.596,0.62,5
Camille Jones,The Creeps - Fedde Le Grand Radio Mix,152333,FALSE,2006,17,0.847,0.861,6
Linkin Park,What I've Done,205613,FALSE,2007,77,0.623,0.93,5
Keyshia Cole,Last Night,255706,FALSE,2007,60,0.918,0.857,3
Chris Brown,Kiss Kiss (feat. T-Pain),250666,FALSE,2007,68,0.729,0.658,10
Shop Boyz,Party Like A Rock Star,253400,TRUE,2007,61,0.619,0.709,7
Finger Eleven,Paralyzer,208106,FALSE,2007,73,0.644,0.939,11
Justin Timberlake,Summer Love,252973,FALSE,2006,66,0.606,0.591,0
MiMS,This Is Why I'm Hot,253706,TRUE,2007,59,0.621,0.6,8
Fabolous,Make Me Better,253573,TRUE,2007,62,0.607,0.599,11
Seether,Fake It,193893,TRUE,2007,73,0.611,0.95,8
Take That,Patience,202066,FALSE,2006,64,0.309,0.783,10
Arctic Monkeys,Brianstorm,172866,FALSE,2007,67,0.42,0.974,1
Justin Timberlake,My Love (feat. T.I.),276160,FALSE,2006,72,0.771,0.68,11
Fergie,Glamorous,246600,TRUE,2006,64,0.811,0.757,0
Linkin Park,Bleed It Out,166373,TRUE,2007,73,0.529,0.967,1
My Chemical Romance,Teenagers,161920,FALSE,2006,80,0.463,0.857,4
Calvin Harris,Acceptable in the 80's,333680,FALSE,2007,57,0.787,0.808,7
Sugababes,About You Now,212400,FALSE,2007,66,0.584,0.699,1
Avril Lavigne,Girlfriend,216600,TRUE,2007,75,0.56,0.959,7
Ne-Yo,Because Of You,266840,FALSE,2007,74,0.81,0.538,0
Daughtry,It's Not Over,215173,FALSE,2016,45,0.45,0.921,10
Unk,Walk It Out,173040,TRUE,2013,48,0.794,0.777,1
Lloyd,You,273133,FALSE,2007,70,0.412,0.876,5
Klaxons,Golden Skans,165120,FALSE,2007,65,0.463,0.836,2
T-Pain,Bartender (feat. Akon),238800,TRUE,2007,3,0.675,0.394,8
Baby Boy Da Prince,The Way I Live - Main Explicit,324906,TRUE,2006,59,0.88,0.438,0
Fergie,Fergalicious,292373,TRUE,2006,63,0.906,0.584,8
Omarion,Ice Box,256426,FALSE,2006,57,0.775,0.731,8
Pretty Ricky,On the Hotline - Amended Version,242586,FALSE,2007,57,0.704,0.854,10
Nickelback,Rockstar,252040,FALSE,2005,69,0.616,0.91,0
Fall Out Boy,Thnks fr th Mmrs,203506,FALSE,2007,76,0.459,0.891,10
Justin Timberlake,LoveStoned / I Think She Knows (Interlude),444333,TRUE,2006,57,0.859,0.681,1
All Time Low,"Dear Maria, Count Me In",182826,FALSE,2007,76,0.459,0.895,2
Amy Winehouse,Back To Black,241293,TRUE,2006,76,0.403,0.422,7
Keyshia Cole,Let It Go,238360,FALSE,2007,58,0.808,0.721,1
Ciara,Promise,267413,FALSE,2006,56,0.697,0.629,9
Enrique Iglesias,Do You Know? (The Ping Pong Song),219533,FALSE,2007,45,0.753,0.759,8
T2,Heartbroken - Edit,178613,FALSE,2017,59,0.716,0.757,11
Robyn,With Every Heartbeat,254920,FALSE,2005,36,0.477,0.865,4
Maroon 5,Makes Me Wonder,211080,TRUE,2007,62,0.803,0.851,7
Fall Out Boy,"This Ain't A Scene, It's An Arms Race",212040,FALSE,2007,68,0.435,0.887,9
Paramore,Misery Business,211520,FALSE,2007,72,0.517,0.906,1
Hinder,Better Than Me,223533,FALSE,2019,30,0.451,0.682,2
Huey,"Pop, Lock & Drop It - Video Edit",261026,FALSE,2006,52,0.723,0.644,11
Foo Fighters,The Pretender,269373,FALSE,2007,78,0.433,0.959,9
Plies,Shawty (feat. T Pain),255413,TRUE,2007,61,0.444,0.708,4
Kaiser Chiefs,Ruby,204200,FALSE,2007,67,0.451,0.939,5
Mark Ronson,Stop Me (feat. Daniel Merriweather),232946,FALSE,2007,46,0.626,0.906,0
Bow Wow,Outta My System (feat. T-Pain & Johntá Austin),238266,FALSE,2006,57,0.772,0.59,6
Jim Jones,We Fly High,236080,TRUE,2006,0,0.685,0.8,1
The Red Jumpsuit Apparatus,Face Down,192000,FALSE,2006,74,0.545,0.932,7
MIKA,Grace Kelly,187733,FALSE,2006,69,0.675,0.828,0
Christina Aguilera,Candyman,194213,FALSE,2006,66,0.686,0.789,8
Sean Kingston,Beautiful Girls,225373,FALSE,2007,78,0.762,0.661,1
Akon,Don't Matter,293066,TRUE,2006,52,0.801,0.454,2
James Blunt,1973,280026,FALSE,2007,68,0.72,0.668,9
Carrie Underwood,Before He Cheats,199946,FALSE,2005,76,0.519,0.749,6
Just Jack,Starz In Their Eyes,295933,FALSE,2006,52,0.67,0.8,3
T-Pain,Buy U a Drank (Shawty Snappin') (feat. Yung Joc),227960,FALSE,2007,2,0.451,0.55,1
Bone Thugs-N-Harmony,I Tried,287480,TRUE,2007,61,0.727,0.71,4
Avril Lavigne,When You're Gone,240493,FALSE,2007,68,0.457,0.719,4
Rich Boy,Throw Some D's,263920,TRUE,2007,57,0.697,0.86,11
MIKA,Love Today,235173,FALSE,2006,57,0.673,0.913,4
Manic Street Preachers,Your Love Alone Is Not Enough (feat. Nina Persson),235693,FALSE,2007,53,0.344,0.921,2
Elliott Yamin,Wait for You,261320,FALSE,2007,58,0.764,0.487,0
Wyclef Jean,"Sweetest Girl (Dollar Bill) (feat. Akon, Lil' Wayne & Niia)",241133,FALSE,2007,56,0.733,0.744,1
Boys Like Girls,The Great Escape,206520,FALSE,2007,62,0.423,0.94,1
Take That,Rule The World - Radio Edit,237760,FALSE,2007,58,0.357,0.774,2
J. Holiday,Bed,275106,FALSE,2007,64,0.684,0.606,5
Red Hot Chili Peppers,Snow (Hey Oh),334666,FALSE,2006,79,0.427,0.9,11
Ludacris,Runaway Love,280680,TRUE,2006,51,0.405,0.721,1
Flo Rida,Low (feat. T-Pain),231400,FALSE,2008,80,0.918,0.609,10
Katy Perry,I Kissed A Girl,179640,FALSE,2008,73,0.699,0.76,5
Rihanna,Take A Bow,229413,FALSE,2008,74,0.697,0.467,9
Alicia Keys,No One,253813,FALSE,2007,77,0.644,0.549,1
Timbaland,Apologize,184400,FALSE,2007,74,0.653,0.604,8
Ne-Yo,Miss Independent,232000,FALSE,2008,71,0.668,0.673,1
Chris Brown,With You,252120,FALSE,2007,70,0.662,0.693,3
Beyoncé,If I Were a Boy,249146,FALSE,2008,66,0.632,0.518,6
Kardinal Offishall,Dangerous,246053,TRUE,2008,75,0.949,0.79,8
Madcon,Beggin (original version),216146,FALSE,2007,70,0.715,0.8,4
September,Cry for You,209800,FALSE,2007,65,0.767,0.881,9
Rihanna,Disturbia,238626,FALSE,2008,76,0.707,0.813,11
Guru Josh Project,Infinity 2008,190013,FALSE,2011,1,0.493,0.849,7
Britney Spears,Break the Ice,196053,FALSE,2007,61,0.712,0.911,5
Lil Wayne,Lollipop,299333,TRUE,2008,69,0.829,0.428,0
Basshunter,Now You're Gone - Video Edit,148186,FALSE,2008,63,0.639,0.976,1
Kanye West,Flashing Lights,237506,TRUE,2007,52,0.639,0.628,6
Madonna,4 Minutes (feat. Justin Timberlake & Timbaland),189693,FALSE,2009,71,0.753,0.931,2
Katy Perry,Hot N Cold,220226,FALSE,2008,73,0.706,0.841,7
Rihanna,Don't Stop The Music,267080,FALSE,2008,77,0.835,0.669,6
Snoop Dogg,Sensual Seduction,245520,FALSE,2007,56,0.756,0.829,11
Akon,Right Now (Na Na Na),240746,FALSE,2008,69,0.83,0.857,8
Britney Spears,Womanizer,224400,FALSE,2008,76,0.724,0.695,11
Eric Prydz,Pjanoo - Radio Edit,157432,FALSE,2008,65,0.605,0.874,7
Kelly Rowland,Work,207920,FALSE,2010,34,0.888,0.823,10
Jeezy,Put On,321293,TRUE,2008,69,0.654,0.77,9
Madonna,Give It 2 Me,287906,FALSE,2008,57,0.837,0.954,8
The Pussycat Dolls,When I Grow Up,245680,FALSE,2008,72,0.671,0.685,11
will.i.am,Heartbreaker,327880,TRUE,2007,46,0.788,0.549,9
Soulja Boy,Crank That (Soulja Boy),221933,FALSE,2007,74,0.736,0.74,0
Britney Spears,Piece of Me,212106,FALSE,2007,64,0.769,0.638,11
T.I.,Live Your Life,338853,TRUE,2008,75,0.375,0.862,11
Ne-Yo,Closer,234360,FALSE,2008,65,0.709,0.745,4
Lil Wayne,A Milli,221840,TRUE,2008,69,0.674,0.695,6
Colby O'Donis,What You Got,243013,FALSE,2008,61,0.775,0.641,1
Miley Cyrus,See You Again,190453,FALSE,2007,0,0.692,0.911,9
Basshunter,All I Ever Wanted - Radio Edit,176453,FALSE,2008,65,0.645,0.984,4
Chris Brown,Kiss Kiss (feat. T-Pain),250666,FALSE,2007,68,0.729,0.658,10
Finger Eleven,Paralyzer,208106,FALSE,2007,73,0.644,0.939,11
Alesha Dixon,The Boy Does Nothing,210680,FALSE,2008,51,0.632,0.972,3
Dizzee Rascal,Dance Wiv Me - Radio Edit,204093,FALSE,2011,68,0.878,0.746,11
Gabriella Cilmi,Sweet About Me,202133,FALSE,2008,56,0.671,0.701,6
Jack White,Another Way to Die,262240,FALSE,2007,56,0.486,0.765,4
Plies,Hypnotized (feat. Akon),188493,TRUE,2007,66,0.84,0.571,10
The Pussycat Dolls,I Hate This Part,218400,FALSE,2008,64,0.756,0.612,5
Sean Kingston,Take You There,236693,FALSE,2008,65,0.752,0.921,5
Natasha Bedingfield,Pocketful of Sunshine,203440,FALSE,2008,62,0.726,0.881,9
The Offspring,"You're Gonna Go Far, Kid",177826,TRUE,2008,78,0.55,0.917,0
Kanye West,Homecoming,203493,TRUE,2007,47,0.667,0.747,1
Estelle,American Boy,284733,TRUE,2008,78,0.727,0.729,0
Saving Abel,Addicted,222826,TRUE,2008,69,0.512,0.864,7
Pendulum,Propane Nightmares,313346,FALSE,2008,57,0.356,0.966,7
The Game,My Life,320893,TRUE,2008,60,0.673,0.766,11
Danity Kane,Damaged,244266,FALSE,2008,57,0.774,0.653,8
P!nk,So What,215160,TRUE,2008,76,0.534,0.87,11
Kanye West,Love Lockdown,270306,FALSE,2008,66,0.76,0.524,1
Gym Class Heroes,Cookie Jar (feat. The-Dream),216317,TRUE,2008,54,0.687,0.668,5
M.I.A.,Paper Planes,205200,FALSE,2007,1,0.447,0.848,2
3 Doors Down,It's Not My Time,241960,FALSE,2008,56,0.529,0.934,0
Kylie Minogue,Wow,190973,FALSE,2007,47,0.654,0.884,9
Mariah Carey,Touch My Body,204733,FALSE,2008,0,0.715,0.665,4
MGMT,Kids,302840,FALSE,2007,77,0.451,0.931,9
The Ting Tings,Shut Up and Let Me Go,171226,FALSE,2007,55,0.852,0.927,7
Lil Wayne,Got Money,244626,TRUE,2008,58,0.694,0.661,7
Santana,Into the Night (feat. Chad Kroeger),222440,FALSE,2007,57,0.595,0.844,7
The-Dream,I Luv Your Girl,267866,TRUE,2007,62,0.723,0.322,8
Wiley,Wearing My Rolex - Radio Edit,170480,FALSE,2008,59,0.876,0.716,1
Usher,Love in This Club (feat. Young Jeezy),259720,FALSE,2008,71,0.573,0.712,0
Sam Sparro,Black & Gold - Radio Edit,212360,FALSE,2008,53,0.383,0.703,4
"H ""two"" O",What's It Gonna Be (feat. Platnum),207476,FALSE,2008,55,0.733,0.9,9
The Ting Tings,That's Not My Name,310573,FALSE,2008,51,0.755,0.901,9
Plies,"Bust It Baby, Pt. 2 (feat. Ne-Yo)",240760,TRUE,2008,61,0.648,0.801,5
James Morrison,Broken Strings,250453,FALSE,2008,70,0.57,0.717,1
Leona Lewis,Run,314720,FALSE,2007,62,0.285,0.462,5
Metro Station,Shake It,179946,FALSE,2007,67,0.618,0.955,4
T.I.,Whatever You Like,249533,TRUE,2008,74,0.68,0.687,9
Trey Songz,Can't Help but Wait,206413,FALSE,2007,62,0.699,0.699,8
OneRepublic,Stop And Stare,223853,FALSE,2007,59,0.492,0.859,4
Alexandra Burke,Hallelujah,217826,FALSE,2009,63,0.177,0.425,2
Mary J. Blige,Just Fine,242133,FALSE,2007,64,0.923,0.795,11
Jordin Sparks,One Step At a Time,205160,FALSE,2007,56,0.766,0.692,1
Coldplay,Viva La Vida,242373,FALSE,2008,80,0.486,0.617,5
Kings of Leon,Sex on Fire,203346,FALSE,2008,80,0.542,0.905,9
Kanye West,Good Life,207000,TRUE,2007,45,0.439,0.808,1
Duffy,Mercy,219920,FALSE,2008,69,0.793,0.859,0
David Archuleta,Crush,213520,FALSE,2008,67,0.57,0.664,0
J. Holiday,Suffocate - Superclean,220053,FALSE,2007,58,0.458,0.445,9
Gavin DeGraw,In Love With a Girl,206000,FALSE,2008,51,0.438,0.906,3
Jordin Sparks,Tattoo,233466,FALSE,2007,54,0.566,0.766,2
Coldplay,Violet Hill,222653,FALSE,2008,63,0.33,0.58,1
Ray J,Sexy Can I feat. Yung Berg,204040,TRUE,2008,1,0.575,0.684,1
Jennifer Hudson,Spotlight,250106,FALSE,2008,60,0.707,0.724,11
John Legend,Green Light (feat. André 3000),284186,FALSE,2008,55,0.622,0.882,9
Jonas Brothers,Burnin' Up,175093,FALSE,2008,68,0.667,0.954,2
Lupe Fiasco,Superstar (feat. Matthew Santos),289000,FALSE,2007,64,0.572,0.822,11
Chris Brown,Forever,278573,FALSE,2008,74,0.672,0.82,11
Adele,Chasing Pavements,210506,FALSE,2008,1,0.614,0.47,5
Leona Lewis,Better in Time,234173,FALSE,2007,67,0.584,0.7,6
Fergie,Clumsy,240426,FALSE,2006,58,0.731,0.563,2
T-Pain,Can't Believe It (feat. Lil' Wayne),273826,FALSE,2008,0,0.648,0.516,10
Black Eyed Peas,I Gotta Feeling,289133,FALSE,2009,80,0.743,0.766,0
Lady Gaga,Poker Face,237200,FALSE,2008,77,0.851,0.806,4
Beyoncé,Halo,261640,FALSE,2008,74,0.508,0.72,11
David Guetta,Sexy Bitch (feat. Akon),195853,TRUE,2010,75,0.813,0.627,11
Flo Rida,Right Round,204640,FALSE,2009,74,0.72,0.672,7
Taylor Swift,Love Story,236266,FALSE,2008,74,0.617,0.741,2
Pitbull,Hotel Room Service,238506,FALSE,2009,63,0.849,0.599,6
Britney Spears,Circus,192360,FALSE,2008,74,0.791,0.733,6
Lady Gaga,LoveGame,216333,FALSE,2008,69,0.894,0.678,6
Skillet,Monster,178013,FALSE,2009,75,0.64,0.957,8
The Prodigy,Omen,216026,FALSE,2009,57,0.545,0.953,7
Black Eyed Peas,Meet Me Halfway,284373,FALSE,2009,72,0.798,0.629,11
Kanye West,Heartless,211000,FALSE,2008,82,0.79,0.647,10
Kid Cudi,Day 'N' Nite (Nightmare),221240,FALSE,2009,72,0.88,0.443,11
Lady Gaga,Just Dance,241933,FALSE,2008,76,0.822,0.739,1
Britney Spears,If U Seek Amy,216520,FALSE,2008,69,0.717,0.587,4
Pitbull,I Know You Want Me (Calle Ocho),237120,FALSE,2009,59,0.825,0.743,2
Mariah Carey,Obsessed,242200,FALSE,2009,66,0.742,0.468,10
Beyoncé,Sweet Dreams,208066,FALSE,2008,48,0.694,0.825,1
Agnes,Release Me,256213,FALSE,2009,65,0.621,0.923,2
Black Eyed Peas,Boom Boom Pow,251440,TRUE,2009,68,0.867,0.857,9
Shakira,She Wolf,188866,FALSE,2009,68,0.865,0.69,7
Lady Gaga,Paparazzi,208306,FALSE,2008,70,0.762,0.692,5
JAY-Z,Empire State Of Mind,276920,TRUE,2009,82,0.491,0.956,11
OneRepublic,All The Right Moves,238000,FALSE,2009,65,0.529,0.948,0
Jeremih,Birthday Sex,226506,FALSE,2009,67,0.677,0.523,7
Cascada,Evacuate The Dancefloor,207200,FALSE,2009,63,0.762,0.702,0
Linkin Park,New Divide,268613,FALSE,2009,68,0.493,0.808,5
Kevin Rudolf,Let It Rock,231173,TRUE,2008,66,0.607,0.783,7
JAY-Z,Run This Town,267520,TRUE,2009,75,0.632,0.924,1
Lady Gaga,Bad Romance,294573,TRUE,2009,80,0.696,0.921,0
T.I.,Live Your Life,338853,TRUE,2008,75,0.375,0.862,11
Eminem,We Made You,269613,FALSE,2009,63,0.924,0.853,2
Dizzee Rascal,Bonkers,177573,FALSE,2011,38,0.624,0.977,11
Ciara,Love Sex Magic (feat. Justin Timberlake),220426,FALSE,2009,58,0.893,0.666,10
Rihanna,Russian Roulette,227533,TRUE,2009,64,0.48,0.486,6
Soulja Boy,Turn My Swag On,206333,FALSE,2008,59,0.546,0.712,3
The xx,Intro,127920,FALSE,2009,2,0.617,0.778,9
Jay Sean,Down,212106,FALSE,2009,3,0.657,0.695,2
Keri Hilson,Turnin Me On - Original Dirty,248066,TRUE,2008,41,0.661,0.584,1
David Guetta,When Love Takes Over (feat. Kelly Rowland),191000,FALSE,2010,69,0.675,0.862,11
Cheryl,Fight For This Love,223253,FALSE,2009,65,0.739,0.741,7
Soulja Boy,Kiss Me Thru The Phone,193386,TRUE,2008,76,0.758,0.712,7
Eminem,Crack A Bottle,297520,TRUE,2009,70,0.516,0.874,9
P!nk,Sober,251440,FALSE,2010,46,0.614,0.792,6
Tinchy Stryder,Number 1,212773,FALSE,2009,59,0.581,0.824,0
Pixie Lott,"Mama Do (Uh Oh, Uh Oh)",196520,FALSE,2009,54,0.451,0.873,3
JLS,Beat Again - Radio Edit,196640,FALSE,2009,0,0.894,0.93,11
3OH!3,DONTTRUSTME,192573,TRUE,2008,70,0.791,0.713,5
A.R. Rahman,Jai Ho! (You Are My Destiny),222400,FALSE,2009,65,0.657,0.941,8
The Pussycat Dolls,I Hate This Part,218400,FALSE,2008,64,0.756,0.612,5
Akon,Beautiful,312986,FALSE,2008,65,0.74,0.945,0
Alexandra Burke,Bad Boys (feat. Flo Rida),206480,FALSE,2009,57,0.67,0.866,1
Mario,Break Up,249026,TRUE,2009,51,0.44,0.517,0
Drake,Forever,357706,TRUE,2009,73,0.457,0.906,5
Selena Gomez & The Scene,Naturally,202586,FALSE,2009,63,0.605,0.902,10
Kanye West,Love Lockdown,270306,FALSE,2008,66,0.76,0.524,1
The Veronicas,Untouched,255360,FALSE,2005,58,0.557,0.783,6
Fabolous,Throw It In The Bag,231573,TRUE,2009,59,0.789,0.55,11
Jason Derulo,Whatcha Say,221253,FALSE,2010,70,0.615,0.711,11
Lily Allen,Not Fair,201213,TRUE,2009,54,0.719,0.861,5
T.I.,Dead And Gone,299746,TRUE,2008,68,0.713,0.746,0
Sean Kingston,Fire Burning,239986,FALSE,2009,71,0.839,0.804,1
Empire of the Sun,Walking On A Dream,198440,FALSE,2008,77,0.871,0.701,5
Cobra Starship,Good Girls Go Bad (feat. Leighton Meester),196413,FALSE,2009,65,0.594,0.874,0
Nickelback,If Today Was Your Last Day,249066,FALSE,2008,66,0.485,0.911,3
La Roux,Bulletproof,205733,FALSE,2009,71,0.674,0.882,3
Kasabian,Fire,252279,FALSE,2009,64,0.525,0.742,10
Calvin Harris,I'm Not Alone - Radio Edit,210973,FALSE,2009,55,0.597,0.684,7
Justin Bieber,One Time,215866,FALSE,2009,71,0.691,0.853,1
Jamie Foxx,Blame It,289746,TRUE,2008,65,0.673,0.614,7
La Roux,In For The Kill,248626,FALSE,2009,59,0.629,0.969,8
Muse,Uprising,304840,FALSE,2009,75,0.602,0.905,2
Nickelback,Gotta Be Somebody,252653,FALSE,2008,62,0.536,0.89,0
James Morrison,Broken Strings,250453,FALSE,2008,70,0.57,0.717,1
T.I.,Whatever You Like,249533,TRUE,2008,74,0.68,0.687,9
Dizzee Rascal,Holiday,220626,FALSE,2011,60,0.545,0.918,0
Beyoncé,Single Ladies (Put a Ring on It),193213,FALSE,2008,67,0.426,0.584,1
Boys Like Girls,Love Drunk,226706,FALSE,2009,64,0.44,0.976,10
The-Dream,Rockin' That Shit,221920,TRUE,2009,62,0.672,0.62,8
OneRepublic,Secrets,224693,FALSE,2009,74,0.516,0.764,2
JLS,Everybody in Love,195586,FALSE,2013,39,0.705,0.783,5
Jason Aldean,Big Green Tractor,204200,FALSE,2009,50,0.616,0.596,4
The Fray,Never Say Never,256613,FALSE,2009,67,0.23,0.492,8
Lily Allen,The Fear,207120,TRUE,2009,53,0.661,0.847,10
Kings of Leon,Sex on Fire,203346,FALSE,2008,80,0.542,0.905,9
Drake,Best I Ever Had,258760,TRUE,2010,54,0.431,0.894,5
Kelly Clarkson,Already Gone,281560,FALSE,2009,56,0.209,0.872,9
Miley Cyrus,Party In The U.S.A.,202066,FALSE,2009,79,0.652,0.698,10
Jordin Sparks,Battlefield,241920,FALSE,2009,57,0.613,0.634,2
Ne-Yo,Mad,254533,FALSE,2008,64,0.731,0.644,0
Green Day,21 Guns,321093,FALSE,2009,73,0.268,0.742,5
Keri Hilson,Knock You Down,326186,FALSE,2009,57,0.588,0.877,8
Taylor Swift,You Belong With Me,231146,FALSE,2008,55,0.687,0.771,6
Shinedown,Second Chance,222066,FALSE,2008,67,0.46,0.796,0
Asher Roth,I Love College,241933,TRUE,2009,62,0.713,0.826,8
Katy Perry,Waking Up In Vegas,199186,FALSE,2008,49,0.524,0.878,5
Kelly Clarkson,My Life Would Suck Without You,211493,FALSE,2009,68,0.526,0.882,9
Mumford & Sons,Little Lion Man,245173,TRUE,2009,68,0.517,0.492,5
The Fray,You Found Me,241853,FALSE,2009,73,0.338,0.803,8
Bruno Mars,Just the Way You Are,220734,FALSE,2010,77,0.635,0.841,5
Eminem,Love The Way You Lie,263373,TRUE,2010,81,0.749,0.925,10
Lady Gaga,Bad Romance,294573,TRUE,2009,80,0.696,0.921,0
Stromae,Alors on danse - Radio Edit,206066,FALSE,2010,77,0.791,0.59,1
Kesha,TiK ToK,199693,FALSE,2010,80,0.755,0.837,2
David Guetta,Memories (feat. Kid Cudi),210853,FALSE,2010,76,0.546,0.916,8
Taio Cruz,Dynamite,202613,FALSE,2010,80,0.751,0.783,4
Rihanna,Only Girl (In The World),235493,FALSE,2010,73,0.789,0.716,11
Katy Perry,California Gurls,234653,FALSE,2012,72,0.791,0.754,0
Kesha,Take It Off,215200,FALSE,2010,68,0.729,0.675,5
INNA,Hot - Play & Win Radio Version,217036,FALSE,2010,42,0.817,0.939,7
Far East Movement,Like A G6,216893,FALSE,2010,73,0.435,0.837,3
David Guetta,Gettin' Over You (feat. Fergie & LMFAO),188000,FALSE,2010,62,0.615,0.913,10
Duck Sauce,Barbra Streisand - Radio Edit,196533,FALSE,2010,46,0.769,0.922,1
Lucenzo,Danza Kuduro (feat. Don Omar),213986,FALSE,2011,0,0.622,0.942,7
Rihanna,Te Amo,208426,TRUE,2009,67,0.567,0.707,8
Timbaland,Carry Out (Featuring Justin Timberlake),232466,FALSE,2009,69,0.531,0.574,10
DJ Fresh,Gold Dust - Radio Edit,192446,FALSE,2010,63,0.451,0.948,0
Edward Maya,Stereo Love - Radio Edit,184573,FALSE,2010,66,0.799,0.783,1
Taio Cruz,Break Your Heart,201546,FALSE,2010,74,0.607,0.934,3
Black Eyed Peas,Imma Be,257560,FALSE,2009,61,0.597,0.517,0
Sidney Samson,Riverside,320348,TRUE,2009,47,0.804,0.976,1
Eminem,Not Afraid,248133,TRUE,2010,79,0.855,0.954,0
Lady Gaga,Alejandro,274213,FALSE,2009,67,0.623,0.793,11
Rihanna,Rude Boy,222920,TRUE,2009,74,0.563,0.75,11
Ne-Yo,Beautiful Monster,251573,FALSE,2010,57,0.708,0.771,5
3OH!3,Starstrukk,203093,FALSE,2010,32,0.605,0.795,11
Black Eyed Peas,The Time (Dirty Bit),307640,FALSE,2010,69,0.816,0.813,6
Kelly Rowland,Commander,218106,FALSE,2011,59,0.395,0.876,11
Swedish House Mafia,One (Your Name) - Radio Edit,163246,FALSE,2010,63,0.733,0.673,9
Chris Brown,Deuces (feat. Tyga & Kevin McCall),276560,TRUE,2011,68,0.692,0.736,1
Usher,DJ Got Us Fallin' In Love (feat. Pitbull),220800,FALSE,2010,79,0.663,0.861,7
Iyaz,Replay,182306,FALSE,2009,75,0.706,0.751,9
Flo Rida,Club Can't Handle Me (feat. David Guetta),234560,FALSE,2010,76,0.616,0.869,0
Sean Kingston,Eenie Meenie,201946,FALSE,2010,74,0.72,0.607,1
Waka Flocka Flame,No Hands (feat. Roscoe Dash & Wale),263773,TRUE,2010,58,0.76,0.595,1
Tinie Tempah,Written in the Stars (feat. Eric Turner),207653,FALSE,2010,57,0.656,0.931,7
Bruno Mars,Talking to the Moon,217866,FALSE,2010,76,0.498,0.59,1
Miley Cyrus,Can't Be Tamed,168213,FALSE,2010,0,0.63,0.91,11
Mike Posner,Cooler Than Me - Single Mix,213293,FALSE,2010,75,0.768,0.82,7
Lady Gaga,Telephone,220640,FALSE,2009,69,0.824,0.836,3
Yolanda Be Cool,We No Speak Americano (JT Radio Edit),157438,FALSE,2010,1,0.901,0.805,6
Rihanna,Hard,250600,TRUE,2009,55,0.31,0.746,1
